Institución que abrió la licitación,Institución Destino,Fecha de apertura,Mantenimiento de la oferta,Código de licitación,N° Expediente,Descripción Extraida,Producto,Cantidad,Unidades,Nro Renglón,Línea de Producto,Latitud,Longitud
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"ACEITE VEGETAL - TRIGLICERIDOS DE CADENA MEDIANA - Destinado a pacientes con trastornos en la digestión, absorción y transporte de lípidos.",ACEITE MCT NUTRICIA 500 ML,9,ML,3,MCT Oil,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"NUTRICION PARA DIABETICO DE USO ORAL - Líquida, de liberación lenta, libre de lactosa y gluten. Composición aproximada por cada 100 ml: hidratos de carbono (maltodextrina y/o fructosa y/o almidón de tapioca etc.); 8,5 a 13 g, proteínas (caseinato da calcio y/o sodio y/o aislado de proteína de soja); 4 a 5 g, grasas (aceite de girasol y/o de soja y/o cártamo y/o canola y/o lecitina); 3 a 5,5 g, fibra dietaria; hasta 2,5 g.",DIASIP VAINILLA X 4 X 200 ML,618,ML,4,Diasip,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"NUTRICION ENTERAL COMPLETA - Nutrición líquida con fibra, especial para diabéticos para alimentación enteral. Composición aproximada por 100 ml. Proteínas (Caseinato de Na y/o Ca-y/o aislado de proteínas de soja) : 4.10 a 4.50 g. Hidratos de Carbono (Maltodextrina y/o polisacárido de soja y/o almidón de tapioca y/o fructosa) 9.50 a 12g. Grasas (Aceite de Cártamo y/o girasol y/o lecitina y/o canola) : 4,0 a 5.50 g. Fibra dietaria 1 a 1,50.",NUTRISON ADVANCED DIASON PACK X 1L,864,ML,5,Nutrison,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"NUTRICION ENTERAL COMPLETA - Líquida, isotónica, de bajos residuos, con alto contenido en nitrógeno, libre de lactosa, sacarosa y gluten. Composición aproximada en 100 mililitros: Proteínas: 3,5 a 4,6 g. (Caseinatos y/o aislado de proteína de soja) Grasas: 3,3 a 4 g (Aceite de girasol y/o Cártamo, Canola, T.C.M. y/o Lecitina y/o pescado) Carbohidratos 12 a 14,5 g (maltodextrina).",NUTRISON PACK  STD. 1000ML,12168,ML,7,Nutrison,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"SUPLEMENTO NUTRICIONAL - En polvo, de uso oral o enteral, saborizado (vainilla/neutro), de bajos residuos. Libre de lactosa, gluten y aceites vegetales hidrogenados. Contiene sacarosa.",FORTISIP MAX VAINILLA LATA X 350G,1437,ML,8,Fortisip,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"ALMIDON DE MAIZ MODIFICADO - En polvo, para alimentación oral y espesar en forma instantánea, sin cocción, alimentos sólidos o líquidos, fríos o calientes.",ESPESAN PLUS (NUTILIS) 12X300G ARG,195,G,9,Espesan,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,"SUPLEMENTO ENERGETICO (MALTO-DEXTRINA) - Con baja osmolaridad, libre de sacarosa. Fórmula aproximada por 100 gramos de polvo: Hidratos de Carbono (Maltodextrina) 92 a 97 g.",POLIMEROSA LATA X 320 G,23,G,10,Polimerosa,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,FORMULA LACTEA DE SEGUIMIENTO PARA LACTANTES DE 7 A 12 MESES - En polvo.,VITAL 2 LICITACIONES POUCH X 1KG,360,G,11,Vital,-34.6082258,-58.3739631
GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,BENEFICIARIOS DEL PROGRAMA INCLUIR SALUD DEPENDIENTE DEL MINISTERIO DE SALUD DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES,2024-06-18,20 dias,BAC 401-1006-LPU24,EE 23245378/GCABA-DGABS/24,FORMULA LACTEA DE SEGUIMIENTO PARA LACTANTES DE 7 A 12 MESES - En polvo.,VITAL 2 X 800 GR,360,G,11,Vital,-34.6082258,-58.3739631
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,"FORMULA COMPLETA Y BALANCEADA COMBINADA CON 5 GRUPOS DE NUTRIENTES ESENCIALES (CARBOHIDRATOS, PROTEINAS, ACIDOS GRASOS ESENCIALES, VITAMINAS Y MINERALES). CONTIENE CALCIO, VITAMINA D, FIBRAS Y LACTOBACILLUS. LIBRE DE GLUTEN. SIN TACC. PARA NIÑOS DE 1 A 10 AÑOS. POLVO X 400 G SABOR VAINILLA - TIPO PEDIASURE/SUSTENTA SABOR VAINILLA - NO CHOCOLATE FORTINI NO SABOR A CHOCOLATE",FORTINI VAINILLA LATA X 400G,24,UNIDAD,1,Fortini,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,FORMULA PARA LACTANTES SIN LACTOSA POLVO X 400 G - TIPO NUTRILON SIN LACTOSA - NAN SIN LACTOSA,NUTRILON SIN LACTOSA LATA X350G,24,UNIDAD,2,Nutrilon,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,MODULO DE HIDRATOS DE CARBONO EN BASE A MALTODEXTRINA X 400 G (TIPO POLIMEROSA O EQUIVALENTE),POLIMEROSA LATA X 320 G,6,UNIDAD,3,Polimerosa,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,"FORMULA A BASE DE JARABE DE GLUCOSA SUERO HIDROLIZADO TRIGLICERIDOS DE CADENA MEDIA, ACEITES VEGETALES, VITAMINAS Y MINERALES.PARA LACTANTES Y NIÑOS. LIBRE DE GLUTEN .SIN TACC. POLVO X 400 G -- NUTRILON PEPTI JUNIOR HE",NUTRILON PEPTI JUNIOR LATA X 400G,100,UNIDAD,4,Nutrilon,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,"ALIMENTO PARA PROPOSITOS MEDICOS ESPECIFICOS, CON ACIDOS GRASOS POLIINSATURADOS DE CADENA LARGA Y NUCLEOTICOS. PARA LACTANTES DE BAJO PESO AL NACER. LIBRE DE GLUTEN. POLVO X 400 G -- PRE-NAN-NUTRILON PREMATUROS-ENFABEBE PREMATURO- NUTRIBABY PREMATURO",NUTRILON PREMATUROS 1 X 400GR,6,UNIDAD,5,Nutrilon,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,FORMULA POLIMERICA COMPLETA PEDAITRICA. LIBRE DE LACTOSA .POLVO X 400 G -- PEDIASURE-SUSTENTA,FORTINI VAINILLA LATA X 400G,24,UNIDAD,6,Fortini,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,FORMULA POLIMERICA COMPLETA PEDAITRICA. LIBRE DE LACTOSA .POLVO X 400 G -- PEDIASURE-SUSTENTA,FORTINI NEUTRO LATA X 400G,24,UNIDAD,6,Fortini,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,"FORMULA ELEMENTAL PARA LACTANTES DE O A 12 MESES CON AMINOACIDOS, CARBOHIDRATOS Y ASOCIADOS. POLVO X 400 G -- NEOCATE GOLD",NEOCATE GOLD LATA X 400G,16,UNIDAD,7,Neocate,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,ESPESANTE INSTANTANEO PARA ALIMENTOS Y BEBIDAS. ALMIDON DE MAIZ INTANTANEO. POLVO X 400 G -- ESPESAN,ESPESAN PLUS (NUTILIS) 12X300G ARG,16,UNIDAD,8,Espesan,-31.3989369,-64.1971924
HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,HOSPITAL PEDIÁTRICO DEL NIÑO JESÚS,2025-04-03,30 días,0043/2025,,FORMULA PARA LACTANTES QUE AYUDA A EQUILIBRAR LA MICROBIOTA INTESTINAL FAVORECIENDO EL DESARROLLO DEL SISTEMA INMUNE. POLVO X 400 G -- NAN HA- NUTRILON HA,NUTRILON HA LATA X 400 GRS,12,UNIDAD,9,Nutrilon,-31.3989369,-64.1971924
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"FORMULA ENTERAL LIQUIDA COMPLETA HIPERCALORICA E HIPERPROTEICA GR/1500 CAL, RICO CON EN CALORIAS TCM (57% LIPIDOS), (1.5 CAL/ML) SIN PROTEINAS FIBRAS 500 112.5 ML",NUTRISON PROTEIN INTENSE BOTELLA X 500ML,750,ML,1,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"FORMULA ENTERAL LIQUIDA COMPLETA PARA PACIENTE ONCOLOGICO, 100 % FIBRA SOLUBLE, X 500 ML (1,5 KCAL/ML)",NUTRISON ADVANCED PROTISON BTLLA X 500ML,25,ML,2,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,FORMULA ENTERAL LIQUIDA COMPLETA PARA PACIENTES CRÍTICOS HIPERPROTEICA LEVEMENTE (10 gr/100 ml) HIPERCALÓRICA X 500 ML (1.2 - 1.3 kcal/ml),NUTRISON PROTEIN INTENSE BOTELLA X 500ML,150,ML,3,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"FORMULA ENTERAL LIQUIDA COMPLETA, A BASE DE CARBOHIDRATOS, 100% DE PROTEINAS DE SUERO HIDROLIZADO, LIPIDOS, VITAMINAS Y MINERALES. RICO EN TCM HIPERPROTEICA HIPERCALORICA (1.33 KCAL/ML)",NUTRISON ADVANCED PROTISON BTLLA X 500ML,35,ML,4,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,NUTRICION LIQUIDA ENTERAL COMPLETA (PARA PACIENTES DIABÉTICOS 1 Y 2) X 500 ML,NUTRISON ADVANCED DIASON PACK X 1L,35,ML,5,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,NUTRICION LIQUIDA ENTERAL COMPLETA NORMOCALORICA E HIPERPROTEICA PARA PACIENTES METABOLICAMENTE ESTRESADOS X 500 ML,NUTRISON ADV CUBISON 1L OPTRIBOTTLE,35,ML,6,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"SUPLEM. NUTRIC. HIPERCALORICA Y/O HIPERPROTEICA C/FIB. VIA ORAL-ENT. MALTODEXT., CASEINATO POLVO (TIPO FORTISIP MAX - FRESUBIN DE CA-NA POWDER LIBRE FIBRAS LACT/GLU)",FORTISIP MAX NEUTRO LATA X 350G,12,,7,Fortisip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"SUPLEMENTO NUTRIC LIQUIDO COMPLETO P/ VIA ORAL .HIPERCAL SIN FIBRA, GLUTEN Y LACTOSA X 200 - 250 ML",FORTISIP VAINILLA BOTELLA X 200ML,100,ML,8,Fortisip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"SUPLEMENTO NUTRICIONAL LIQUIDO COMPLETO P/ VIA ORAL (NUTRICION ESPECIAL PARA PACIENTES DIABETICOS 1 Y 2), X 200 ML. VARIOS SABORES",DIASIP VAINILLA X 4 X 200 ML,50,ML,9,Diasip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"SUPLEMENTO NUTRICIONAL VIA ORAL SEMISOLIDO, HIPERCALORICO E HIPERPROTEICO SIN FIBRA, X 125 G VARIOS SABORES",FORTISIP COMPACT VAN 24X125ML PB AR,15,G,10,Fortisip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE LA PROVINCIA DE CÓRDOBA,HOSPITAL CÓRDOBA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,251-457/1,,"SUPLEMENTO P/ FORTALECIMIENTO ORAL CON HMB, VITAMINAS Y MINERALES X 400 GR",FORTISIP ADVANCED VAINILLA 280 G,12,GR,11,Fortisip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-02-17,30 dias,COT 031-458-12,,ALIMENTO PARA PROPOSITOS MEDICOS ESPECIFICOS CON ACIDOS GRASOS POLINSATURADOS DE CADENA LARGA Y NUCREOTICOS PARA LACTANTES DE BAJO PESO AL NACER LIBRE DE GLUTEN LIQUIDO X70ML- PRE-NAN-NUTRILON PERMATUROS-ENFAMIL PREMATURO,NUTRILON PREMATUROS 1 BOTELLA X 70ML,300,UNIDAD,5,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORM.ENTERAL LIQ. COMPLETA NUTRISON ADVANCE C/FORM SEMIELEMENTAL PEPTISORB O SURVIMED NORMOCALÓRICA OPD) X 1000 ML,NUTRISON ADVANCED PEPTISORB PA 1000ML,60,UNIDAD,1,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORMULA ENTERAL LIQUIDA COMPLETA PARA PACIENTES CRÍTICOS LEVEMENTE HIPERCALÓRICA (1.2 A 1.3 kcal/ml) E HIPERPROTEICA (10 gr/100 ml) X 500 ML (TIPO NUTRISON PROTEIN INTENSIVE O FRESUBIN INTENSIVE),NUTRISON PROTEIN INTENSE BOTELLA X 500ML,150,UNIDAD,2,Nutrison,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORMULA PARA LACTANTES SIN LACTOSA SIN POLVO LACTOSA X 400 G - TIPO NUTRILON SIN LACTOSA - NAN,NUTRILON SIN LACTOSA LATA X350G,10,UNIDAD,3,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"FORMULA SEMIELEMENTAL EN POLVO, A BASE DE CASEINATO DE SODIO HIDROLIZADO Y MALTODEXTRINA, SIN FIBRA, LIBRE DE LACTOSA X 400 GRS LATA (TIPO KAS 1000, NUTRAMIGEN LIPIL O EQUIVALENTE)",KAS 1000 LATA X 400G,10,UNIDAD,4,Kas 1000,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,MODULO DE HIDRATOS DE CARBONO EN EQUIVALENTE BASE A MALTODEXTRINA X 400 G (TIPO POLIMEROSA O EQUIVALENTE),POLIMEROSA LATA X 320 G,5,UNIDAD,5,Polimerosa,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"SUPLEMENTO NUTRICIONAL LIQUIDO COMPLETO PARA VIA ORAL HIPERCALORICO SIN FIBRA, GLUTEN Y LACTOSA X 200 - 250 ML (TIPO ENSURE PLUS O FORTISIP O EQUIVALENTE)",FORTISIP VAINILLA BOTELLA X 200ML,48,UNIDAD,6,Fortisip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"SUPLEMENTO NUTRICIONAL PARA VIA ORAL HIPERCALORICO, NORMOPROTEICO PARA NIÑOS. LIBRE DE LACTOSA Y GLUTEN SIN FIBRA VARIOS SABORES (TIPO FREBINI ENERGY DRINK)",NUTRINI ENERGY MF  OPTRI X 500ML,24,UNIDAD,7,Nutrini,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"SUPLEMENTO NUTRICIONAL SEMISOLIDO PARA VIA ORAL, HIPERCALORICO E HIPERPROTEICO CON FIBRA, SIN GLUTEN X 125 G VARIOS SABORES (TIPO FRESUBIN CREME, ETC)",FORTISIP COMPACT VAN 24X125ML PB AR,15,UNIDAD,8,Fortisip,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORMULA MATERNIZADA EN POLVO X 800 G PARA BEBES DE 0 A 6 MESES. SIN SACAROSA. SIN GLUTEN. INFANTIL-ENFABEBE SIN TACC.,VITAL 1 X 800G,8,UNIDAD,9,Vital,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORMULA MATERNIZADA EN POLVO X 800 G PARA BEBES DE 0 A 6 MESES. SIN SACAROSA. SIN GLUTEN. INFANTIL-ENFABEBE SIN TACC.,NUTRILON 1 LATA X 800G,8,UNIDAD,9,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"FORMULA A BASE DE JARABE DE GLUCOSA SUERO HIDROLIZADO TRIGLICERIDOS DE CADENA MEDIA, ACEITES VEGETALES, VITAMINAS Y MINERALES. PARA LACTANTES Y NIÑOS. LIBRE DE GLUTEN. SIN TACC. POLVO X 400 G -- NUTRILON PEPTI JUNIOR HE",NUTRILON PEPTI JUNIOR LATA X 400G,10,UNIDAD,10,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"ALIMENTO PARA PROPOSITOS MEDICOS ESPECIFICOS, CON ACIDOS GRASOS POLIINSATURADOS DE CADENA LARGA Y NUCLEOTICOS. PARA LACTANTES PREMATUROS DE BAJO PESO AL NACER. POLVO X 400 G -- PRE-NAN-NUTRILON PREMATUROS-ENFABEBE NUTRIBABY PREMATURO",NUTRILON PREMATUROS 1 X 400GR,15,UNIDAD,11,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"ALIMENTO PARA PROPOSITOS MEDICOS ESPECIFICOS, CON ACIDOS GRASOS POLIINSATURADOS DE CADENA LARGA Y NUCLEOTICOS. PARA LACTANTES DE BAJO PESO AL NACER. LIBRE DE GLUTEN. LIQUIDO X 70 ML -- PRE-NAN-NUTRILON PREMATUROS-ENFAMIL PREMATURO",NUTRILON PREMATUROS 1 BOTELLA X 70ML,150,UNIDAD,12,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,"SUPLEMENTO NUTRICIONAL PARA VIA ORAL, HIPERCALORICA, NORMOPROTEICO PARA NIÑOS. LIBRE DE LACTOSA. SIN FIBRA. VARIOS SABORES. LIQUIDO X 237 ML -- FEBRINI ENERGY DRINK-SUPPOTA-PEDIASURE LIQUIDO",NUTRINI ENERGY MF  OPTRI X 500ML,24,UNIDAD,13,Nutrini,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORMULA PARA LACTANTES DE 0 A 18 MESES CON ALTA DENSIDAD ENERGETICA (1 KCAL/ML). POLVO X 400 G -- INFANTRINI,INFATRINI 12 X 400G,3,UNIDAD,15,Infatrini,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORMULA PARA LACTANTES QUE AYUDA A EQUILIBRAR LA MICROBIOTA INTESTINAL FAVORECIENDO EL DESARROLLO DEL SISTEMA INMUNE. POLVO X 400 G -- NAN HA- NUTRILON HA,NUTRILON HA LATA X 400 GRS,8,UNIDAD,16,Nutrilon,-27.4648819,-58.8340973
MINISTERIO DE SALUD DE CÓRDOBA,HOSPITAL PASTEUR DE VILLA MARÍA,2025-04-07,30 días según Ley 10.155 - Decreto Reglamentario 305/14,066-458-12,,FORTIFICADOR DE LECHE HUMANA AMPOLLAS X 5 ML O SOBRE X 1 GR,NUTRIPREM FORT L MATERNA EST 50 S X 1 GR,25,UNIDAD,17,Nutriprem,-27.4648819,-58.8340973
DIRECCIÓN DE COMPRAS Y CONTRATACIONES - GOBIERNO DE LA PROVINCIA DE SAN LUIS,DIRECCIÓN DE FÁRMACOS E INSUMOS MÉDICOS,2025-02-06,30 días corridos,CONCURSO DE PRECIOS Nº 714-MHeIP-DCyC-2025,EXD Nº 01230503/2025,MEDICAMENTOS- Tipo Nutricion Hipercalorica liquida- Envase x 200 cc - Contenido 1 UNIDAD,FORTISIP VAINILLA BOTELLA X 200ML,2800,UNIDAD,1,Fortisip,,
GOBIERNO DE LA PROVINCIA DE MENDOZA,HOSPITAL TEODORO J. SCHESTAKOW,2025-02-12,30 Días hábiles,20803-0030-CDI25,EX-2025-00902404- -GDEMZA-HSCHESTAKOW#MSDSYD,ACEITE DE TRIGLICÉRIDOS Presentación: X 500 ML,ACEITE MCT NUTRICIA 500 ML,,UNIDAD/S,2,MCT Oil,,
MINISTERIO DE DESARROLLO SOCIAL DE TUCUMÁN,DCI PUERICULTURA ALFREDO GUZMÁN,2025-01-21,22 días hábiles,Nº de Pedido: 16489,Expediente N°: 13/474-2025,LECHE MATERNIZADA 1 X 800 GRS. TIPO NIDO/VITAL/SANCOR. PRESENTACION POR 800 GR O 1 KG,VITAL 1 X 800G,80,UNIDAD,2,Vital,,
MINISTERIO DE DESARROLLO SOCIAL DE TUCUMÁN,DCI PUERICULTURA ALFREDO GUZMÁN,2025-01-21,22 días hábiles,Nº de Pedido: 16489,Expediente N°: 13/474-2025,LECHE MATERNIZADA 2 X 800 GRS TIPO NIDO/VITAL/SANCOR. PRESENTACION POR 800 GR O 1 KG,VITAL 2 LICITACIONES POUCH X 1KG,60,UNIDAD,3,Vital,,
